진료년도,상병구분,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,ADHD,서울,강남구,남,0~9세,980,6448,519912600
2023,ADHD,서울,강남구,남,10~19세,2295,17250,1509286940
2023,ADHD,서울,강남구,남,20~29세,1431,10151,1160302970
2023,ADHD,서울,강남구,남,30~39세,1137,8171,1033772760
2023,ADHD,서울,강남구,남,40~49세,312,2168,260667860
2023,ADHD,서울,강남구,남,50~59세,83,449,45767940
2023,ADHD,서울,강남구,남,60~69세,0,0,0
2023,ADHD,서울,강남구,남,70~79세,0,0,0
2023,ADHD,서울,강남구,남,80~89세,0,0,0
2023,ADHD,서울,강남구,남,90~99세,0,0,0
2023,ADHD,서울,강남구,남,100세 이상,0,0,0
2023,ADHD,서울,강남구,여,0~9세,257,1688,128044300
2023,ADHD,서울,강남구,여,10~19세,1069,7908,758489720
2023,ADHD,서울,강남구,여,20~29세,1842,12328,1609404850
2023,ADHD,서울,강남구,여,30~39세,1040,7579,973896310
2023,ADHD,서울,강남구,여,40~49세,339,2159,243258400
2023,ADHD,서울,강남구,여,50~59세,87,418,43985220
2023,ADHD,서울,강남구,여,60~69세,10,58,4286690
2023,ADHD,서울,강남구,여,70~79세,0,0,0
2023,ADHD,서울,강남구,여,80~89세,0,0,0
2023,ADHD,서울,강남구,여,90~99세,0,0,0
2023,ADHD,서울,강남구,여,100세 이상,0,0,0
2023,ADHD,서울,강동구,남,0~9세,614,5653,336497350
2023,ADHD,서울,강동구,남,10~19세,813,7181,463764990
2023,ADHD,서울,강동구,남,20~29세,307,2023,147105490
2023,ADHD,서울,강동구,남,30~39세,243,1556,131295740
2023,ADHD,서울,강동구,남,40~49세,66,399,36094550
2023,ADHD,서울,강동구,남,50~59세,17,103,6628150
2023,ADHD,서울,강동구,남,60~69세,0,0,0
2023,ADHD,서울,강동구,남,70~79세,0,0,0
2023,ADHD,서울,강동구,남,80~89세,0,0,0
2023,ADHD,서울,강동구,남,90~99세,0,0,0
2023,ADHD,서울,강동구,남,100세 이상,0,0,0
2023,ADHD,서울,강동구,여,0~9세,157,1136,70172660
2023,ADHD,서울,강동구,여,10~19세,326,2780,191871730
2023,ADHD,서울,강동구,여,20~29세,345,2216,181889180
2023,ADHD,서울,강동구,여,30~39세,224,1366,109641910
2023,ADHD,서울,강동구,여,40~49세,84,509,36630420
2023,ADHD,서울,강동구,여,50~59세,12,63,7769420
2023,ADHD,서울,강동구,여,60~69세,0,0,0
2023,ADHD,서울,강동구,여,70~79세,0,0,0
2023,ADHD,서울,강동구,여,80~89세,0,0,0
2023,ADHD,서울,강동구,여,90~99세,0,0,0
2023,ADHD,서울,강동구,여,100세 이상,0,0,0
2023,ADHD,서울,강서구,남,0~9세,458,3358,251423360
2023,ADHD,서울,강서구,남,10~19세,688,5250,394633430
2023,ADHD,서울,강서구,남,20~29세,310,2118,201374740
2023,ADHD,서울,강서구,남,30~39세,255,1903,195219690
2023,ADHD,서울,강서구,남,40~49세,61,437,41669700
2023,ADHD,서울,강서구,남,50~59세,12,78,5778550
2023,ADHD,서울,강서구,남,60~69세,0,0,0
2023,ADHD,서울,강서구,남,70~79세,0,0,0
2023,ADHD,서울,강서구,남,80~89세,0,0,0
2023,ADHD,서울,강서구,남,90~99세,0,0,0
2023,ADHD,서울,강서구,남,100세 이상,0,0,0
2023,ADHD,서울,강서구,여,0~9세,106,692,54665710
2023,ADHD,서울,강서구,여,10~19세,267,1688,141202030
2023,ADHD,서울,강서구,여,20~29세,476,3039,332387530
2023,ADHD,서울,강서구,여,30~39세,252,1711,178504170
2023,ADHD,서울,강서구,여,40~49세,44,318,32883050
2023,ADHD,서울,강서구,여,50~59세,0,0,0
2023,ADHD,서울,강서구,여,60~69세,0,0,0
2023,ADHD,서울,강서구,여,70~79세,0,0,0
2023,ADHD,서울,강서구,여,80~89세,0,0,0
2023,ADHD,서울,강서구,여,90~99세,0,0,0
2023,ADHD,서울,강서구,여,100세 이상,0,0,0
2023,ADHD,서울,관악구,남,0~9세,200,1633,171147080
2023,ADHD,서울,관악구,남,10~19세,346,2532,303170050
2023,ADHD,서울,관악구,남,20~29세,660,5218,503219230
2023,ADHD,서울,관악구,남,30~39세,443,3053,283888480
2023,ADHD,서울,관악구,남,40~49세,40,298,25429130
2023,ADHD,서울,관악구,남,50~59세,10,48,4711810
2023,ADHD,서울,관악구,남,60~69세,0,0,0
2023,ADHD,서울,관악구,남,70~79세,0,0,0
2023,ADHD,서울,관악구,남,80~89세,0,0,0
2023,ADHD,서울,관악구,남,90~99세,0,0,0
2023,ADHD,서울,관악구,남,100세 이상,0,0,0
2023,ADHD,서울,관악구,여,0~9세,47,367,35881660
2023,ADHD,서울,관악구,여,10~19세,137,967,109761110
2023,ADHD,서울,관악구,여,20~29세,884,6427,670321750
2023,ADHD,서울,관악구,여,30~39세,383,2884,309361340
2023,ADHD,서울,관악구,여,40~49세,43,276,27640030
2023,ADHD,서울,관악구,여,50~59세,0,0,0
2023,ADHD,서울,관악구,여,60~69세,0,0,0
2023,ADHD,서울,관악구,여,70~79세,0,0,0
2023,ADHD,서울,관악구,여,80~89세,0,0,0
2023,ADHD,서울,관악구,여,90~99세,0,0,0
2023,ADHD,서울,관악구,여,100세 이상,0,0,0
2023,ADHD,서울,구로구,남,0~9세,457,2616,149798450
2023,ADHD,서울,구로구,남,10~19세,565,4084,254354720
2023,ADHD,서울,구로구,남,20~29세,318,2503,202921540
2023,ADHD,서울,구로구,남,30~39세,251,1826,174512210
2023,ADHD,서울,구로구,남,40~49세,45,295,25362560
2023,ADHD,서울,구로구,남,50~59세,0,0,0
2023,ADHD,서울,구로구,남,60~69세,0,0,0
2023,ADHD,서울,구로구,남,70~79세,0,0,0
2023,ADHD,서울,구로구,남,80~89세,0,0,0
2023,ADHD,서울,구로구,남,90~99세,0,0,0
2023,ADHD,서울,구로구,남,100세 이상,0,0,0
2023,ADHD,서울,구로구,여,0~9세,123,693,41305250
2023,ADHD,서울,구로구,여,10~19세,227,1531,134047980
2023,ADHD,서울,구로구,여,20~29세,467,3442,320779880
2023,ADHD,서울,구로구,여,30~39세,273,1973,176127120
2023,ADHD,서울,구로구,여,40~49세,61,489,37321030
2023,ADHD,서울,구로구,여,50~59세,12,63,4617250
2023,ADHD,서울,구로구,여,60~69세,0,0,0
2023,ADHD,서울,구로구,여,70~79세,0,0,0
2023,ADHD,서울,구로구,여,80~89세,0,0,0
2023,ADHD,서울,구로구,여,90~99세,0,0,0
2023,ADHD,서울,구로구,여,100세 이상,0,0,0
2023,ADHD,서울,도봉구,남,0~9세,118,1083,78130880
2023,ADHD,서울,도봉구,남,10~19세,169,1462,113254810
2023,ADHD,서울,도봉구,남,20~29세,128,883,47112290
2023,ADHD,서울,도봉구,남,30~39세,91,580,26474470
2023,ADHD,서울,도봉구,남,40~49세,24,161,7779030
2023,ADHD,서울,도봉구,남,50~59세,0,0,0
2023,ADHD,서울,도봉구,남,60~69세,0,0,0
2023,ADHD,서울,도봉구,남,70~79세,0,0,0
2023,ADHD,서울,도봉구,남,80~89세,0,0,0
2023,ADHD,서울,도봉구,남,90~99세,0,0,0
2023,ADHD,서울,도봉구,남,100세 이상,0,0,0
2023,ADHD,서울,도봉구,여,0~9세,41,355,25499560
2023,ADHD,서울,도봉구,여,10~19세,95,796,50620750
2023,ADHD,서울,도봉구,여,20~29세,148,921,43870010
2023,ADHD,서울,도봉구,여,30~39세,74,399,19868780
2023,ADHD,서울,도봉구,여,40~49세,11,41,1855590
2023,ADHD,서울,도봉구,여,50~59세,0,0,0
2023,ADHD,서울,도봉구,여,60~69세,0,0,0
2023,ADHD,서울,도봉구,여,70~79세,0,0,0
2023,ADHD,서울,도봉구,여,80~89세,0,0,0
2023,ADHD,서울,도봉구,여,90~99세,0,0,0
2023,ADHD,서울,도봉구,여,100세 이상,0,0,0
2023,ADHD,서울,동대문구,남,0~9세,141,938,76387500
2023,ADHD,서울,동대문구,남,10~19세,307,2224,198841520
2023,ADHD,서울,동대문구,남,20~29세,360,2278,226459740
2023,ADHD,서울,동대문구,남,30~39세,176,1124,109330690
2023,ADHD,서울,동대문구,남,40~49세,53,376,32874080
2023,ADHD,서울,동대문구,남,50~59세,18,88,5994240
2023,ADHD,서울,동대문구,남,60~69세,0,0,0
2023,ADHD,서울,동대문구,남,70~79세,0,0,0
2023,ADHD,서울,동대문구,남,80~89세,0,0,0
2023,ADHD,서울,동대문구,남,90~99세,0,0,0
2023,ADHD,서울,동대문구,남,100세 이상,0,0,0
2023,ADHD,서울,동대문구,여,0~9세,42,281,25223860
2023,ADHD,서울,동대문구,여,10~19세,146,930,84608040
2023,ADHD,서울,동대문구,여,20~29세,490,3197,326850680
2023,ADHD,서울,동대문구,여,30~39세,186,1264,122976700
2023,ADHD,서울,동대문구,여,40~49세,49,322,31346080
2023,ADHD,서울,동대문구,여,50~59세,13,75,6626650
2023,ADHD,서울,동대문구,여,60~69세,0,0,0
2023,ADHD,서울,동대문구,여,70~79세,0,0,0
2023,ADHD,서울,동대문구,여,80~89세,0,0,0
2023,ADHD,서울,동대문구,여,90~99세,0,0,0
2023,ADHD,서울,동대문구,여,100세 이상,0,0,0
2023,ADHD,서울,동작구,남,0~9세,240,1395,137503370
2023,ADHD,서울,동작구,남,10~19세,411,2676,307344630
2023,ADHD,서울,동작구,남,20~29세,545,4817,505510400
2023,ADHD,서울,동작구,남,30~39세,286,2541,261520570
2023,ADHD,서울,동작구,남,40~49세,65,521,44495830
2023,ADHD,서울,동작구,남,50~59세,0,0,0
2023,ADHD,서울,동작구,남,60~69세,0,0,0
2023,ADHD,서울,동작구,남,70~79세,0,0,0
2023,ADHD,서울,동작구,남,80~89세,0,0,0
2023,ADHD,서울,동작구,남,90~99세,0,0,0
2023,ADHD,서울,동작구,남,100세 이상,0,0,0
2023,ADHD,서울,동작구,여,0~9세,64,405,39841470
2023,ADHD,서울,동작구,여,10~19세,172,1114,125071450
2023,ADHD,서울,동작구,여,20~29세,613,5306,550707210
2023,ADHD,서울,동작구,여,30~39세,245,2208,233415730
2023,ADHD,서울,동작구,여,40~49세,50,400,43209530
2023,ADHD,서울,동작구,여,50~59세,0,0,0
2023,ADHD,서울,동작구,여,60~69세,0,0,0
2023,ADHD,서울,동작구,여,70~79세,0,0,0
2023,ADHD,서울,동작구,여,80~89세,0,0,0
2023,ADHD,서울,동작구,여,90~99세,0,0,0
2023,ADHD,서울,동작구,여,100세 이상,0,0,0
2023,ADHD,서울,마포구,남,0~9세,415,3886,269001350
2023,ADHD,서울,마포구,남,10~19세,592,5162,431585450
2023,ADHD,서울,마포구,남,20~29세,546,3391,312746280
2023,ADHD,서울,마포구,남,30~39세,388,2564,250354520
2023,ADHD,서울,마포구,남,40~49세,85,509,49073660
2023,ADHD,서울,마포구,남,50~59세,22,129,10486260
2023,ADHD,서울,마포구,남,60~69세,0,0,0
2023,ADHD,서울,마포구,남,70~79세,0,0,0
2023,ADHD,서울,마포구,남,80~89세,0,0,0
2023,ADHD,서울,마포구,남,90~99세,0,0,0
2023,ADHD,서울,마포구,남,100세 이상,0,0,0
2023,ADHD,서울,마포구,여,0~9세,129,1092,68627890
2023,ADHD,서울,마포구,여,10~19세,288,2112,180585530
2023,ADHD,서울,마포구,여,20~29세,895,5713,526159930
2023,ADHD,서울,마포구,여,30~39세,486,3450,305615570
2023,ADHD,서울,마포구,여,40~49세,115,739,63254780
2023,ADHD,서울,마포구,여,50~59세,22,147,10863080
2023,ADHD,서울,마포구,여,60~69세,0,0,0
2023,ADHD,서울,마포구,여,70~79세,0,0,0
2023,ADHD,서울,마포구,여,80~89세,0,0,0
2023,ADHD,서울,마포구,여,90~99세,0,0,0
2023,ADHD,서울,마포구,여,100세 이상,0,0,0
2023,ADHD,서울,서대문구,남,0~9세,653,2272,267443820
2023,ADHD,서울,서대문구,남,10~19세,495,2116,270208130
2023,ADHD,서울,서대문구,남,20~29세,119,619,69624700
2023,ADHD,서울,서대문구,남,30~39세,66,425,45297430
2023,ADHD,서울,서대문구,남,40~49세,21,119,12358690
2023,ADHD,서울,서대문구,남,50~59세,0,0,0
2023,ADHD,서울,서대문구,남,60~69세,0,0,0
2023,ADHD,서울,서대문구,남,70~79세,0,0,0
2023,ADHD,서울,서대문구,남,80~89세,0,0,0
2023,ADHD,서울,서대문구,남,90~99세,0,0,0
2023,ADHD,서울,서대문구,남,100세 이상,0,0,0
2023,ADHD,서울,서대문구,여,0~9세,154,539,62742460
2023,ADHD,서울,서대문구,여,10~19세,165,827,85173730
2023,ADHD,서울,서대문구,여,20~29세,199,1439,146777870
2023,ADHD,서울,서대문구,여,30~39세,67,450,49488520
2023,ADHD,서울,서대문구,여,40~49세,17,127,12496300
2023,ADHD,서울,서대문구,여,50~59세,0,0,0
2023,ADHD,서울,서대문구,여,60~69세,0,0,0
2023,ADHD,서울,서대문구,여,70~79세,0,0,0
2023,ADHD,서울,서대문구,여,80~89세,0,0,0
2023,ADHD,서울,서대문구,여,90~99세,0,0,0
2023,ADHD,서울,서대문구,여,100세 이상,0,0,0
2023,ADHD,서울,성동구,남,0~9세,272,1681,149612210
2023,ADHD,서울,성동구,남,10~19세,341,2434,259873220
2023,ADHD,서울,성동구,남,20~29세,248,1592,149058660
2023,ADHD,서울,성동구,남,30~39세,162,1109,110682070
2023,ADHD,서울,성동구,남,40~49세,51,321,32390610
2023,ADHD,서울,성동구,남,50~59세,11,43,3917660
2023,ADHD,서울,성동구,남,60~69세,0,0,0
2023,ADHD,서울,성동구,남,70~79세,0,0,0
2023,ADHD,서울,성동구,남,80~89세,0,0,0
2023,ADHD,서울,성동구,남,90~99세,0,0,0
2023,ADHD,서울,성동구,남,100세 이상,0,0,0
2023,ADHD,서울,성동구,여,0~9세,69,405,39410080
2023,ADHD,서울,성동구,여,10~19세,178,1126,126956290
2023,ADHD,서울,성동구,여,20~29세,286,2067,211530140
2023,ADHD,서울,성동구,여,30~39세,174,1157,125896840
2023,ADHD,서울,성동구,여,40~49세,48,300,31394420
2023,ADHD,서울,성동구,여,50~59세,14,84,6999820
2023,ADHD,서울,성동구,여,60~69세,0,0,0
2023,ADHD,서울,성동구,여,70~79세,0,0,0
2023,ADHD,서울,성동구,여,80~89세,0,0,0
2023,ADHD,서울,성동구,여,90~99세,0,0,0
2023,ADHD,서울,성동구,여,100세 이상,0,0,0
2023,ADHD,서울,성북구,남,0~9세,384,2372,157138310
2023,ADHD,서울,성북구,남,10~19세,653,4583,276601640
2023,ADHD,서울,성북구,남,20~29세,258,1684,124580390
2023,ADHD,서울,성북구,남,30~39세,79,444,37247310
2023,ADHD,서울,성북구,남,40~49세,22,130,9632550
2023,ADHD,서울,성북구,남,50~59세,0,0,0
2023,ADHD,서울,성북구,남,60~69세,0,0,0
2023,ADHD,서울,성북구,남,70~79세,0,0,0
2023,ADHD,서울,성북구,남,80~89세,0,0,0
2023,ADHD,서울,성북구,남,90~99세,0,0,0
2023,ADHD,서울,성북구,남,100세 이상,0,0,0
2023,ADHD,서울,성북구,여,0~9세,127,632,44834630
2023,ADHD,서울,성북구,여,10~19세,284,1882,115298460
2023,ADHD,서울,성북구,여,20~29세,316,2116,172830360
2023,ADHD,서울,성북구,여,30~39세,94,701,58763970
2023,ADHD,서울,성북구,여,40~49세,27,179,14168370
2023,ADHD,서울,성북구,여,50~59세,11,59,3783760
2023,ADHD,서울,성북구,여,60~69세,0,0,0
2023,ADHD,서울,성북구,여,70~79세,0,0,0
2023,ADHD,서울,성북구,여,80~89세,0,0,0
2023,ADHD,서울,성북구,여,90~99세,0,0,0
2023,ADHD,서울,성북구,여,100세 이상,0,0,0
2023,ADHD,서울,영등포구,남,0~9세,342,2118,214167430
2023,ADHD,서울,영등포구,남,10~19세,362,2336,225751100
2023,ADHD,서울,영등포구,남,20~29세,359,2411,239799200
2023,ADHD,서울,영등포구,남,30~39세,328,2364,247976660
2023,ADHD,서울,영등포구,남,40~49세,82,571,56000870
2023,ADHD,서울,영등포구,남,50~59세,19,156,14966520
2023,ADHD,서울,영등포구,남,60~69세,0,0,0
2023,ADHD,서울,영등포구,남,70~79세,0,0,0
2023,ADHD,서울,영등포구,남,80~89세,0,0,0
2023,ADHD,서울,영등포구,남,90~99세,0,0,0
2023,ADHD,서울,영등포구,남,100세 이상,0,0,0
2023,ADHD,서울,영등포구,여,0~9세,83,456,45926370
2023,ADHD,서울,영등포구,여,10~19세,169,1104,111909510
2023,ADHD,서울,영등포구,여,20~29세,452,3403,377855740
2023,ADHD,서울,영등포구,여,30~39세,331,2545,261518490
2023,ADHD,서울,영등포구,여,40~49세,79,488,48384730
2023,ADHD,서울,영등포구,여,50~59세,14,60,7879030
2023,ADHD,서울,영등포구,여,60~69세,0,0,0
2023,ADHD,서울,영등포구,여,70~79세,0,0,0
2023,ADHD,서울,영등포구,여,80~89세,0,0,0
2023,ADHD,서울,영등포구,여,90~99세,0,0,0
2023,ADHD,서울,영등포구,여,100세 이상,0,0,0
2023,ADHD,서울,용산구,남,0~9세,74,548,71710450
2023,ADHD,서울,용산구,남,10~19세,98,580,83523390
2023,ADHD,서울,용산구,남,20~29세,132,838,78431430
2023,ADHD,서울,용산구,남,30~39세,140,989,98391770
2023,ADHD,서울,용산구,남,40~49세,61,400,43021240
2023,ADHD,서울,용산구,남,50~59세,0,0,0
2023,ADHD,서울,용산구,남,60~69세,0,0,0
2023,ADHD,서울,용산구,남,70~79세,0,0,0
2023,ADHD,서울,용산구,남,80~89세,0,0,0
2023,ADHD,서울,용산구,남,90~99세,0,0,0
2023,ADHD,서울,용산구,남,100세 이상,0,0,0
2023,ADHD,서울,용산구,여,0~9세,18,76,8891820
2023,ADHD,서울,용산구,여,10~19세,47,246,27828450
2023,ADHD,서울,용산구,여,20~29세,266,1704,175183520
2023,ADHD,서울,용산구,여,30~39세,176,1027,99193200
2023,ADHD,서울,용산구,여,40~49세,27,167,16775280
2023,ADHD,서울,용산구,여,50~59세,0,0,0
2023,ADHD,서울,용산구,여,60~69세,0,0,0
2023,ADHD,서울,용산구,여,70~79세,0,0,0
2023,ADHD,서울,용산구,여,80~89세,0,0,0
2023,ADHD,서울,용산구,여,90~99세,0,0,0
2023,ADHD,서울,용산구,여,100세 이상,0,0,0
2023,ADHD,서울,은평구,남,0~9세,319,2022,138056800
2023,ADHD,서울,은평구,남,10~19세,447,3015,225783090
2023,ADHD,서울,은평구,남,20~29세,288,1896,147828600
2023,ADHD,서울,은평구,남,30~39세,177,1260,100170930
2023,ADHD,서울,은평구,남,40~49세,43,301,20496270
2023,ADHD,서울,은평구,남,50~59세,10,44,5082450
2023,ADHD,서울,은평구,남,60~69세,0,0,0
2023,ADHD,서울,은평구,남,70~79세,0,0,0
2023,ADHD,서울,은평구,남,80~89세,0,0,0
2023,ADHD,서울,은평구,남,90~99세,0,0,0
2023,ADHD,서울,은평구,남,100세 이상,0,0,0
2023,ADHD,서울,은평구,여,0~9세,93,529,38436050
2023,ADHD,서울,은평구,여,10~19세,196,1271,109915690
2023,ADHD,서울,은평구,여,20~29세,358,2560,186896240
2023,ADHD,서울,은평구,여,30~39세,184,1324,90832730
2023,ADHD,서울,은평구,여,40~49세,58,352,25127240
2023,ADHD,서울,은평구,여,50~59세,20,117,7778590
2023,ADHD,서울,은평구,여,60~69세,0,0,0
2023,ADHD,서울,은평구,여,70~79세,0,0,0
2023,ADHD,서울,은평구,여,80~89세,0,0,0
2023,ADHD,서울,은평구,여,90~99세,0,0,0
2023,ADHD,서울,은평구,여,100세 이상,0,0,0
2023,ADHD,서울,종로구,남,0~9세,678,1993,171765090
2023,ADHD,서울,종로구,남,10~19세,864,3485,453739480
2023,ADHD,서울,종로구,남,20~29세,480,2850,291731940
2023,ADHD,서울,종로구,남,30~39세,271,1699,200163110
2023,ADHD,서울,종로구,남,40~49세,62,389,40017510
2023,ADHD,서울,종로구,남,50~59세,21,122,10603870
2023,ADHD,서울,종로구,남,60~69세,0,0,0
2023,ADHD,서울,종로구,남,70~79세,0,0,0
2023,ADHD,서울,종로구,남,80~89세,0,0,0
2023,ADHD,서울,종로구,남,90~99세,0,0,0
2023,ADHD,서울,종로구,남,100세 이상,0,0,0
2023,ADHD,서울,종로구,여,0~9세,170,460,33549790
2023,ADHD,서울,종로구,여,10~19세,252,1054,122810950
2023,ADHD,서울,종로구,여,20~29세,592,3410,365796830
2023,ADHD,서울,종로구,여,30~39세,290,1889,227885300
2023,ADHD,서울,종로구,여,40~49세,61,376,39151610
2023,ADHD,서울,종로구,여,50~59세,19,87,11238290
2023,ADHD,서울,종로구,여,60~69세,0,0,0
2023,ADHD,서울,종로구,여,70~79세,0,0,0
2023,ADHD,서울,종로구,여,80~89세,0,0,0
2023,ADHD,서울,종로구,여,90~99세,0,0,0
2023,ADHD,서울,종로구,여,100세 이상,0,0,0
2023,ADHD,서울,중구,남,0~9세,25,136,12225950
2023,ADHD,서울,중구,남,10~19세,66,416,37430930
2023,ADHD,서울,중구,남,20~29세,219,1351,150107230
2023,ADHD,서울,중구,남,30~39세,209,1285,162257310
2023,ADHD,서울,중구,남,40~49세,47,298,35133270
2023,ADHD,서울,중구,남,50~59세,13,67,7618500
2023,ADHD,서울,중구,남,60~69세,0,0,0
2023,ADHD,서울,중구,남,70~79세,0,0,0
2023,ADHD,서울,중구,남,80~89세,0,0,0
2023,ADHD,서울,중구,남,90~99세,0,0,0
2023,ADHD,서울,중구,남,100세 이상,0,0,0
2023,ADHD,서울,중구,여,0~9세,0,0,0
2023,ADHD,서울,중구,여,10~19세,37,192,22648670
2023,ADHD,서울,중구,여,20~29세,364,2473,314897750
2023,ADHD,서울,중구,여,30~39세,195,1254,157454310
2023,ADHD,서울,중구,여,40~49세,35,182,21551070
2023,ADHD,서울,중구,여,50~59세,10,98,10581640
2023,ADHD,서울,중구,여,60~69세,0,0,0
2023,ADHD,서울,중구,여,70~79세,0,0,0
2023,ADHD,서울,중구,여,80~89세,0,0,0
2023,ADHD,서울,중구,여,90~99세,0,0,0
2023,ADHD,서울,중구,여,100세 이상,0,0,0
2023,ADHD,서울,송파구,남,0~9세,1401,8452,809489100
2023,ADHD,서울,송파구,남,10~19세,1896,14272,1556661050
2023,ADHD,서울,송파구,남,20~29세,670,4881,554996580
2023,ADHD,서울,송파구,남,30~39세,449,2989,373656210
2023,ADHD,서울,송파구,남,40~49세,147,931,114221350
2023,ADHD,서울,송파구,남,50~59세,43,299,40421420
2023,ADHD,서울,송파구,남,60~69세,0,0,0
2023,ADHD,서울,송파구,남,70~79세,0,0,0
2023,ADHD,서울,송파구,남,80~89세,0,0,0
2023,ADHD,서울,송파구,남,90~99세,0,0,0
2023,ADHD,서울,송파구,남,100세 이상,0,0,0
2023,ADHD,서울,송파구,여,0~9세,397,2279,218145210
2023,ADHD,서울,송파구,여,10~19세,780,5591,590387420
2023,ADHD,서울,송파구,여,20~29세,816,5880,720376670
2023,ADHD,서울,송파구,여,30~39세,491,4142,558228970
2023,ADHD,서울,송파구,여,40~49세,164,1218,150785470
2023,ADHD,서울,송파구,여,50~59세,44,259,29173600
2023,ADHD,서울,송파구,여,60~69세,0,0,0
2023,ADHD,서울,송파구,여,70~79세,0,0,0
2023,ADHD,서울,송파구,여,80~89세,0,0,0
2023,ADHD,서울,송파구,여,90~99세,0,0,0
2023,ADHD,서울,송파구,여,100세 이상,0,0,0
2023,ADHD,서울,중랑구,남,0~9세,330,2822,323170150
2023,ADHD,서울,중랑구,남,10~19세,388,4907,463600220
2023,ADHD,서울,중랑구,남,20~29세,348,2767,208417280
2023,ADHD,서울,중랑구,남,30~39세,262,1900,125153430
2023,ADHD,서울,중랑구,남,40~49세,67,535,31465140
2023,ADHD,서울,중랑구,남,50~59세,15,77,3955570
2023,ADHD,서울,중랑구,남,60~69세,0,0,0
2023,ADHD,서울,중랑구,남,70~79세,0,0,0
2023,ADHD,서울,중랑구,남,80~89세,0,0,0
2023,ADHD,서울,중랑구,남,90~99세,0,0,0
2023,ADHD,서울,중랑구,남,100세 이상,0,0,0
2023,ADHD,서울,중랑구,여,0~9세,104,690,83299850
2023,ADHD,서울,중랑구,여,10~19세,199,1750,168426980
2023,ADHD,서울,중랑구,여,20~29세,534,4036,306850970
2023,ADHD,서울,중랑구,여,30~39세,330,2689,185437270
2023,ADHD,서울,중랑구,여,40~49세,98,666,35726600
2023,ADHD,서울,중랑구,여,50~59세,30,205,8773000
2023,ADHD,서울,중랑구,여,60~69세,0,0,0
2023,ADHD,서울,중랑구,여,70~79세,0,0,0
2023,ADHD,서울,중랑구,여,80~89세,0,0,0
2023,ADHD,서울,중랑구,여,90~99세,0,0,0
2023,ADHD,서울,중랑구,여,100세 이상,0,0,0
2023,ADHD,서울,양천구,남,0~9세,582,3966,399872080
2023,ADHD,서울,양천구,남,10~19세,904,6726,619532990
2023,ADHD,서울,양천구,남,20~29세,287,1897,150327970
2023,ADHD,서울,양천구,남,30~39세,124,900,74889690
2023,ADHD,서울,양천구,남,40~49세,45,255,21627120
2023,ADHD,서울,양천구,남,50~59세,13,80,4052880
2023,ADHD,서울,양천구,남,60~69세,0,0,0
2023,ADHD,서울,양천구,남,70~79세,0,0,0
2023,ADHD,서울,양천구,남,80~89세,0,0,0
2023,ADHD,서울,양천구,남,90~99세,0,0,0
2023,ADHD,서울,양천구,남,100세 이상,0,0,0
2023,ADHD,서울,양천구,여,0~9세,189,1305,110653930
2023,ADHD,서울,양천구,여,10~19세,407,2821,277401750
2023,ADHD,서울,양천구,여,20~29세,268,1779,169316330
2023,ADHD,서울,양천구,여,30~39세,125,830,76655070
2023,ADHD,서울,양천구,여,40~49세,46,303,27013900
2023,ADHD,서울,양천구,여,50~59세,10,82,8533890
2023,ADHD,서울,양천구,여,60~69세,0,0,0
2023,ADHD,서울,양천구,여,70~79세,0,0,0
2023,ADHD,서울,양천구,여,80~89세,0,0,0
2023,ADHD,서울,양천구,여,90~99세,0,0,0
2023,ADHD,서울,양천구,여,100세 이상,0,0,0
2023,ADHD,서울,서초구,남,0~9세,696,4532,387341860
2023,ADHD,서울,서초구,남,10~19세,1160,8350,809419430
2023,ADHD,서울,서초구,남,20~29세,769,5331,623885160
2023,ADHD,서울,서초구,남,30~39세,547,3913,468065360
2023,ADHD,서울,서초구,남,40~49세,196,1338,157666620
2023,ADHD,서울,서초구,남,50~59세,47,301,32642120
2023,ADHD,서울,서초구,남,60~69세,11,74,9755400
2023,ADHD,서울,서초구,남,70~79세,0,0,0
2023,ADHD,서울,서초구,남,80~89세,0,0,0
2023,ADHD,서울,서초구,남,90~99세,0,0,0
2023,ADHD,서울,서초구,남,100세 이상,0,0,0
2023,ADHD,서울,서초구,여,0~9세,206,1500,117583400
2023,ADHD,서울,서초구,여,10~19세,547,3956,410110820
2023,ADHD,서울,서초구,여,20~29세,986,7223,912112270
2023,ADHD,서울,서초구,여,30~39세,634,4712,610291200
2023,ADHD,서울,서초구,여,40~49세,178,1040,130625350
2023,ADHD,서울,서초구,여,50~59세,67,350,40938700
2023,ADHD,서울,서초구,여,60~69세,12,43,5222350
2023,ADHD,서울,서초구,여,70~79세,0,0,0
2023,ADHD,서울,서초구,여,80~89세,0,0,0
2023,ADHD,서울,서초구,여,90~99세,0,0,0
2023,ADHD,서울,서초구,여,100세 이상,0,0,0
2023,ADHD,서울,노원구,남,0~9세,450,3171,236828160
2023,ADHD,서울,노원구,남,10~19세,966,7190,586584670
2023,ADHD,서울,노원구,남,20~29세,372,2695,204125490
2023,ADHD,서울,노원구,남,30~39세,127,902,67997910
2023,ADHD,서울,노원구,남,40~49세,31,183,13909780
2023,ADHD,서울,노원구,남,50~59세,10,45,2235730
2023,ADHD,서울,노원구,남,60~69세,0,0,0
2023,ADHD,서울,노원구,남,70~79세,0,0,0
